index,time_seconds
0,0.098685
1,0.394739
2,0.592109
3,0.777868
4,0.841723
5,0.899773
6,1.097143
7,1.195828
8,1.300317
9,1.503492
10,1.578957
11,2.095601
12,2.397460
13,2.792200
14,2.983764
